Refcode,Smiles
NITPOL08,O=[N+]([O-])c1ccc(O)cc1
ACSALA13,CC(=O)Oc1ccccc1C(=O)O
MNPHOL20,O=[N+]([O-])c1cccc(O)c1
FOMWAG,CNC(=O)Oc1cccc2c1OC(C)(C)C2
CEBGOF06,COC(=O)c1ccc(O)cc1
NOZKES,OCCO
DMETSO04,CS(C)=O
PHBALD11,O=Cc1ccc(O)cc1
NAPHOB03,Oc1ccc2ccccc2c1
ITIZOA,C1CNCCN1
ITIZUG,C1COCCN1
CLPHOL12,Oc1ccc(Cl)cc1
ACETAC07,CC(=O)O
QAMVEG,Oc1cccc(Cl)c1
PHENOL11,Oc1ccccc1
ISENID,CCCCCC(=O)O
CLANIC05,Nc1ccc(Cl)cc1
EDAVUA,c1ccc2ncccc2c1
WIZDUE01,Cc1cnccn1
EFUMAU01,C1CCNC1
QQQEJV06,OC1CCCCC1
ITOBAU,C1CCNCC1
METHOL02,CO
VEGNAX01,COS(=O)(=O)OC
CUKCIU,C1COCCO1
IGEHEI,Nc1ccccc1Cl
ZZZWGK02,O=C1CCCCC1
MIYHOR,Cc1ccnc(C)c1
IDIGOR,Cc1cncc(C)c1
FADCIX,Cc1ccc(C)nc1
ZZZHKQ02,Cc1ccccn1
CACFIW,Cc1cccc(C)n1
PYRENE02,c1cc2ccc3cccc4ccc(c1)c2c34
QOBGUL,CCN
QOBHEW,CCCN
QOBHOG,CCCCCN
NTROMA01,C[N+](=O)[O-]
QOBHUM,CCCCCCN
QQQCIV05,CC#N
QOBJAU,CCCCCCCN
MOVTUN,Cc1ccccc1[N+](=O)[O-]
MOVVAV,Cc1cccc([N+](=O)[O-])c1
BAHSUY,COC(C)=O
AXUCUS01,CCOC(C)=O
RAFFIO,c1ccc(Oc2ccccc2)cc1
YARZUN03,CCOC(=O)CC
DIMETH10,ICI
NAPHTA32,c1ccc2ccccc2c1
CEZSEF,COC(C)(C)C
ABEWAG,COC
ABUMIT01,Clc1ccccc1Cl
DCLMET12,ClCCl
BENZEN15,c1ccccc1
SOPLAL,Cc1cc(C)cc(C)c1
MIMETH11,CI
MEYFIH,CCc1ccccc1
IHERES,FCCl
TEJWAH,CF
QQQCIS01,C1CC1
BUTCLT05,CC(C)(C)Cl
CYCHEX05,C1CCCCC1
MEGTAU,CC1CCCC1
JAYDUI,CCC
DUCKOB04,CCCC
YEDWUA,CC1CCC(C)CC1
PENTAN01,CCCCC
HEPTAN02,CCCCCCC
OCTANE01,CCCCCCCC
QQQFAY01,CCCCCCCCC
QQQFBG01,CCCCCCCCCC